Name,Effect
Interference_pte,"At-Will - Reaction
Trigger - An Enemy within 3m would perform a Save Check or Accuracy Roll
Effect: The Enemy has a penalty to the Triggering roll equal to your Tier Level.
Bonus: The user may perform Hinder Maneuvers as if they were 5, 1 Target and may use their Focus Skill when making opposed checks. "
Intimidate_pte,"At-Will - Reaction
Trigger - An Enemy ends their Turn within 3m of you
Effect: The Triggering Enemy loses -1 CS in Attack or Special Attack of your choice. If they ended their Turn Adjacent to the user, they instead lose -2 CS in Attack or Special Attack. "
Iron Barbs_pte,"At-Will - Reaction
Keywords - Defensive
Trigger - An Enemy Targets the user with an Attack while Adjacent to them
Effect: The Triggering Enemy becomes Wounded. If they’re already Wounded, they lose a Tick of Hit Points and cannot cure it during their next Save Check. 
Bonus: The user’s Melee Attacks have a 16+ Effect Range to cause the Target to lose a Tick of Hit Points."
Iron Body,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by a Damaging Attack
Effect: When calculating type effectiveness, the user is treated as only Steel Typed. 
Bonus: The user gains +2 DB to Steel Type Damaging Attacks. (This is not STAB)"
Iron Fist_pte,"Scene x2 - Swift Action
Trigger - You use a Melee, 1 Target Attack
Effect: The Target cannot apply Physical Evasion against the Triggering Attack.
Bonus: The user gains +3 DB to Attacks with the Punch Keyword."
Ionic Charge,"At-Will - Swift Action
Trigger - The user hits with an Electric Type Attack
Effect: All Targets hit by the Triggering Attack lose -1 CS in two Stats of the user’s choice or an Ally within 3m gains +1 CS to a Stat of the user’s choice. 
Bonus: While the Weather is Thunderstorm, the user has a bonus to Save Checks equal to their Tier Level."
Juicy Energy_pte,"At-Will - Free Action
Target - The user or an Adjacent Ally
Effect: The Target gains a Tick of Temporary Hit Points. Temporary Hit Points gained this way stack on top of existing Temporary Hit Points. Juicy Energy may only be used once per Turn. "
Kampfgeist_pte,"At-Will - Reaction
Trigger - The user is hit with an Attack or the user causes an Enemy to Faint
Effect: The user’s Attack is set to +6 CS until the end of the next Round and you become Vulnerable for the same duration. After this Duration expires, you are set back to your Default Attack CS. 
Bonus: The user gains STAB on Fighting Type Attacks."
Keen Eye_pte,"Static
Effect: The user’s Accuracy cannot be lowered, their attacks cannot have Accuracy Penalties (Excluding Provoked), and the user ignores any non-stat Evasion. The user gains a bonus to Accuracy equal to their Tier Level. "
Keystone Warp,"At-Will - Swift Action
Effect: The user may place an Odd Keystone Hazard in any adjacent Space or expend all Soul Charges in an adjacent Odd Keystone Hazard to restore a Tick of HIt Points per Charge. 
Bonus: The user gains the Teleporter Capability, but can only use it to teleport to a space with an Odd Keystone Hazard occupying it. The user may originate any Dark or Ghost Type Attacks from an Odd Keystone Hazard. Whenever a Combatant faints, all Odd Keystones within 5m of them gain Xd3 Soul Charges, where X is equal to your Tier Level."
Klutz_pte,"Scene x2 – Reaction
Keywords - Defensive
Trigger - The user is Hit by a Burst, Blast, or Line Attack.
Effect: The user may Slide 1m, and then become Tripped. This Ability cannot be used if the user is Slowed, Grappled, or otherwise impaired from moving. This ability lets the user avoid Bursts, Blasts, or Lines if the movement removes them from the area of effect. "
Lancer_pte,"Static
Effect: All of the user’s Melee Attacks gain the Pass Keyword. Whenever the user activates the Pass Keyword, the Attack gains a bonus to Critical Hit Ranges equal to their Tier Level. Whenever the user ends their Turn without using a Movement Action, they gain Damage Reduction equal to their Tier Value until the start of their next Turn. "
Lateral Senses,"Static
Keywords - Defensive
Effect: Attacks that Target the user have a penalty to Accuracy against them equal to your Tier Level (Doesn’t apply to other Targets). If the user is Water Type, they gain Evasion equal to their Tier Level if they’re under 50% or in Rainy Weather. If the user has the Blindsense Capability, they gain Evasion equal to their Tier Level if they’re under 50% or in Low Lighting. "
Leaf Guard_pte,"Scene x2 - Swift Action
Keywords - Defensive
Effect: The user gains a Leafy Coat. While the user has a Leafy Coat, they’re treated as being only grass Typed and they have Damage Reduction equal to their Tier Value.. After an Attack resolves where the user takes Super Effective Damage or a Critical Hit, they must pass a DC 15 Save Check or else the Leafy Coat is expended.  "
Legionnaire,"At-Will - Swift Action
Keywords - Innate
Effect: Choose an effect below which persists until the start of your next Turn.
■ Tetsudo Formation - The user has Damage Reduction equal to their Tier Value against non-Adjacent Attacks.
■ Phalanx Formation - Choose up to 5 Unoccupied Spaces that are contiguous with the one the user is occupying. The user is considered to occupy all of these spaces and Enemies treat them as Blocking Terrain. 
■ Corona Formation - An Adjacent Enemy becomes Trapped. They cannot Target any Ally more than 3m away from you while Trapped.
■ Orbis Formation - The user cannot be Flanked or Surrounded. The user and Adjacent Allies have bonus Evasion equal to your Tier Level."
Levitate_pte,"Scene - Swift Action
Keywords - Defensive
Trigger - A Round Starts
Effect: You may use the Flier Capability as a Free Action.
Bonus: When using the Flier Capability, the user does not become Grounded at the end of their Turn. While Airborne, the user is Immune to Ground Type and Groundsource Attacks and has Evasion against non-Adjacent Attacks equal to their Tier Level. *Grants Flier"
Life Force_pte,"Scene x2 - Swift Action 
Keywords - Defensive
Target - An Adjacent Enemy that has an Affliction
Effect: The Target loses two Ticks of Hit Points and you gain two Ticks of Temporary Hit Points. 
Bonus: Once per Round as a Swift or Movement Action, the user may restore a Tick of Hit Points."
Lightning Kicks_pte,"Scene - Reaction
Trigger - The user is Targeted by an Adjacent Attack
Effect: You may use a "Kick" Attack as a Standard Action against the Triggering Enemy. This Attack resolves before the Triggering Attack. If the Triggering Enemy were to faint, their Attack does not resolve. 
Bonus: The user’s Melee Attacks all gain the Dash Keyword and if Dash is activated, it ignores Speed Evasion. "
Lingering Aroma_pte,"At-Will - Free Action
Keywords - Defensive
Trigger - An Enemy ends their Turn within 2m of you
Effect: The Triggering Enemy must expend a Reaction or pass a TN 12 Save Check. On a Failure, you may either choose one of their Abilities to become Disabled, or lower one of their Stats by -2 CS. If they got a 3 or less, both apply instead. "
Liquid Ooze_pte,"At-Will - Reaction
Keywords - Defensive
Trigger - An Enemy ends their Turn Adjacent to the user or hits them with an Attack while Adjacent to them
Effect: The Triggering Enemy becomes Poisoned. If the Trigger was being hit with an Attack and the Triggering Enemy is already Poisoned, they cannot cure the Affliction during their next Save Check.  "
Liquid Voice_pte,"At-Will - Swift Action
Trigger - The user uses an Attack with the Sonic Keyword as a Standard Action
Effect: The triggering Attack loses the Sonic keyword, but gains the Friendly keyword and becomes Water Typed. If the Attack was a Status Class Attack, you may treat it as a Special Attack with DB 4. This ability may not be used with Perish Song."
Long Reach_pte,"Static
Effect: The user may use Damaging Attacks as if they had a range of "6, 1 Target" instead of their usual range. The user's Attack of Opportunity is modified, all mentions of "Adjacent Enemy" becomes "an Enemy within 3m". The final trigger becomes "when an Enemy shifts out of a burst 3 range from the user" rather than moving out of adjacency."
Lullaby_pte,"Static
Connection - Sing. 
Effect: Enemies that are Drowsy as a result of the user are Vulnerable while they're Drowsy. While a Drowsy Enemy is within 2m of you, they have a penalty to Save Checks equal to your Tier Level."
Magical Surge,"Scene x2 - Free Action
Trigger - The user drops below 50% Hit Points or ends their Turn in Mystical Weather
Effect: The user next Special Attack gains the Smite Keyword
Bonus: While the user is in Mystical Weather, their Special Damaging Attacks have a bonus to Critical Hit Ranges equal to your Tier Level."
Magic Bounce_pte,"Scene x2 - Reaction
Keywords - Defensive
Trigger - The user is hit with a Special Attack and doesn’t faint
Effect: After Damage Calculations, choose an Enemy within 2m to lose Hit Points equal to the amount lost from the Triggering Attack.  "
Magic Guard_pte,"Static
Keywords - Defensive
Effect: Whenever the user would lose Hit Points (Excluding Damage), they may subtract their Special Defense from the amount lost first. While the Weather is Mystical, the user gains Damage Reduction equal to their Tier Value against Special Attacks. "
Magician_pte,"Static
Connection - Snatch. 
Effect: When using Snatch, you may choose to grant the benefits of the Self-Targeting Attack to both you and an ally within 6m. Whenever you hit an Adjacent Enemy with an Attack or Maneuver, you can perform a Disarm Maneuver against them as a Free Action and you may use Focus instead of Combat or Stealth."
Magma Armor_pte,"Scene x2 - Reaction
Keywords - Defensive
Trigger - You're hit with a Melee Attack
Effect: The Triggering Enemy becomes Burned after Damage Resolution
Bonus: Whenever you’re hit with a Melee Damaging Attack from a Burned Enemy, you treat the Type Effectiveness as if it were Resisted. "
Magnet Pull_pte,"At-Will - Swift Action
Target - A Combatant within 6m
Effect: Pick up to Two Effects;
- The Target Slides X meters. X is up to 6 meters minus the target’s Weight Class.
- If the Target is within 3m of the user, they become Trapped. 
- The Target cannot enter any space within 2m of you until the start of your next Turn."
Memory Wipe_pte,"Scene x2 - Special
Target - An Enemy within 3m
Effect: If used as a Swift Action, the last Attack used by the Target becomes Disabled. If used as a Standard Action, the Target becomes Dazed and Paralyzed. *Grants Mind Weaver"
Mental Assault,"Static
Effect: The user’s Psychic Type Damaging Attacks gain a Effect Range of 17+. When this Effect Range is Triggered, roll a d3. On a 1, all Targets become Dazed. On a 2, all Targets become Enraged. On a 3, all Targets become Suppressed. If an Enemy is suffering from a Mental Affliction, they cannot resist the user’s Special Attacks."
Mental Force,"Static
Effect: Whenever the user hits a Special Attack against an Enemy with negative Combat Stages in Special Defense, it cannot be resisted by any means. While the Weather is Mystical, the user’s Dark, Fairy, Ghost and Psychic Type Attacks that are Special Category ignore Defensive Abilities."
Migraine_pte,"Scene x2 - Swift Action
Trigger - The user inflicts a Mental Affliction
Effect: The Target gains a Migraine Coat while they have the Triggering Affliction.
Bonus: When the user falls below 50% Hit Points or gains a Mental Affliction, they gain a Migraine Coat. Combatants with a Migraine Coat have a Bane to Skill Checks and a penalty to Save Checks equal to your Tier Level. If the user has a Migraine Coat, they also have a bonus to Effect Ranges equal to their Tier Level."
Mind's Eye_pte,"At-Will - Swift Action
Effect: The Target becomes Marked with a Mind Mark. The user ignores the Special Evasion of Enemies with the Mind Mark. The user resists Special Category Attacks by an additional damage step if it derrives from an enemy with their Mind Mark
Bonus: Ghost Types are not Immune to the user’s Normal and Fighting Type Attacks."
Mirror Armor_pte,"Scene - Standard Action
Keywords - Defensive
Trigger - The user would be hit by a non-Adjacent Attack
Effect: The triggering Attack instead misses you. In addition, you may Target an Enemy within 2m and perform an Accuracy Roll with the AC being the Triggering Attack as if you had used it. If the Attack would hit, the Target is instead hit by the Triggering Attack as if they were the original Target. 
Bonus: The user’s Defense and Special Defense Combat Stages cannot be lowered. "
Missile Launch_pte,"At-Will - Swift Action
Connection – Dragon Darts. 
Effect: Select an unoccupied space within 5m to create a Dreepy Token in. This Dreepy Token cannot move this Turn.  
Bonus: Dreepy Tokens have 1 Hit Point but share the creator’s Evasion and can be targeted with Attacks. Whenever the creator would Move, they may allocate movement to their Tokens for them to move. A Dreepy Token may be destroyed as a Free Action when they move into a space occupied by an Enemy. If they do so, the creator may perform a Dragon Type Basic Attack against that Enemy as a Free Action, ignoring range. When a Dreepy Token would faint, they are destroyed instead.  "
Misty Surge_pte,"Scene - Swift Action
Connection - Misty Terrain. 
Effect: You may use Misty Terrain as a Free Action, however it only lasts until the end of the next Round.
Bonus: At the end of the Round, if the Weather is Mystical, you may use a Reaction to gain +1 CS in a Stat of your choice."
Mold Breaker_pte,"Static
Effect: You may use your Physical Attacks as if they had the Full Action Keyword. If you do, they are treated as having the Unstoppable Keyword. "
Molten Ground,"At-Will - Swift Action
Connection - Fire Wall. 
Effect: During this Turn, whenever the user Moves, all spaces they pass through turn into Fire Hazards (See: Fire Wall). "
Moody_pte,"At-Will - Free Action
Trigger - The user gains CS or a positive modifier 
Effect: Roll a d2. On a 2, the user ignores the Trigger and gain a Bad Mood Counter. The user cannot gain more than 2 Bad Mood Counters per Round. 
Bonus: When hitting an Attack, the user may expend 2 Bad Mood Counters to make it become a Critical Hit. After the Attack resolves, they become Enraged. The user cannot expend Bad Mood Counters while Enraged."
Mud Dweller_pte,"Static
Keywords - Defensive
Effect: The user resists Ground and Water Type Attacks by an additional Damage step. Enemies with a Mud Coat have double the Accuracy Penalty when Targeting the user."
Mud Shield_pte,"Scene x2 - Swift Action 
Target - The user or an Adjacent Ally 
Connection - Mud Sport. 
Effect: The Target gains two Ticks of Temporary Hit Points.While they have Temporary Hit Points from this Ability, they are Immune to Electric Type Damage.
Bonus: The user has Damage Reduction equal to their Tier Value against Attacks from enemies that have a Mud Coat."
Multiscale_pte,"Static
Keywords - Defensive
Effect: While the user is at Full Hit Points, they resist all damage by an additional step. While the user has Temporary Hit Points, they have Damage Reduction equal to their Tier Value. "
Mummy_pte,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by an Attack
Effect: A Random Attack or Ability of the Triggering Enemy is disabled. If the Enemy already has the Disabled Affliction, they may instead become Suppressed or Trapped if they’re within 3m of the user. "
Mycelium Might_pte,"At-Will - Swift Action
Effect: Choose 6 Spaces within 6m to create Mycelium Hazards in, such that all 6 Spaces are Adjacent to at least one other Mycelium Hazard. Mycelium Hazards are treated as Slow Terrain. Any Enemy that passes through a Mycelium Hazard loses a Tick of Hit Points, then the user gains a Tick of Hit Points or a Temporary Tick of Hit Points. If the user faints or is recalled, all Mycelium Hazards are destroyed."
Mysticism,"Static
Keywords - Innate
Effect: The user adds +5 Points to their Special Defense Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. The user may use their Special Stat Evasion instead of Defense when Targeted by a Physical Attack if desired."
Mystic Mist,"At-Will - Swift Action
Effect: The Weather becomes Mystical. 
Bonus: While the Weather is Mystical, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat. "
Mystic Veil,"Scene x2 - Free Action
Trigger - An Ally ends their turn within 2m of the user.
Effect: The Triggering Ally regains a tick of hit points.
Bonus: The user and allies within 2m of the user have a bonus to Save Checks equal to their Tier Level."
Natural Cure_pte,"Scene - Swift Action
Effect: The user is cured of all Physical Status Afflictions they have.
Bonus: The user has a bonus to Save Checks equal to double their Tier Level if they have a Physical Affliction."
Natural Regality,"Scene - Free Action
Trigger - The user hits with a Grass Type Attack
Effect: After the Triggering Attack resolves, choose a Manipulate Maneuver to use on all Targets hit by the Triggering Attack. The Maneuver automatically hits. 
Bonus: While the Weather is Sunny, the user's Combat Stages cannot be lowered below their Default CS Value."
Needles_pte,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by a Melee Attack or hits a Melee Attack
Effect: After the Trigger resolves, the Triggering Enemy or the Target, respectively, lose a Tick of Hit Points and gains a Needles Coat. While an Enemy has a Needles Coat, all Melee Attacks that hit them have a bonus to Damage Rolls equal to your Tier Value. The Needles coat can be removed as a Movement Action. "
Neutralizing Gas_pte,"Static
Effect: Enemy Abilities have no Effect while the user is Adjacent to them. If the user is Tier 3, this instead applies to Enemies within 2m of the user. If the user causes an Enemy to become Poisoned, their Abilities have no Effect while they are Poisoned this way. "
Nightfall,"At-Will - Swift Action
Effect: The Weather becomes Foggy. 
Bonus: While the Weather is Foggy, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat. "
Nimble Strikes_pte,"Static
Effect: The user may add half of their Speed Stat to the Damage Rolls of their Physical Normal Type Attacks or may use their Speed Stat instead of Attack as the Offensive Stat for them. Whenever the user uses Melee Normal Type Attacks, the Target cannot apply Speed Evasion against them."
No Guard_pte,"Static
Effect: The user’s Melee Attacks ignore all Stat Evasion of their Targets. The user has a -3 penalty to Evasion."
Odious Spray_pte,"Scene x2 - Swift Action
Trigger - The user hits with a Poison-Type Attack.
Connection - Poison Gas. 
Effect: The user creates Gas Hazards in a Ranged Blast 3 centered on one Target of the Attack. Enemies that Trigger this Hazard become Weakened until the end of their next Turn and Poisoned.
Bonus: The user may create a 2x2 Zone within 3m as a Standard Action. This Zone is filled with Gas Hazards that cause those who Trigger it to become Weakened until the end of the next Round and Poisoned."
Omen_pte,"Scene - Swift Action
Target - An Enemy within 5m
Effect: The Target gains an Ominous Coat. When a Combatant with an Ominous Coat misses an Attack or fails a Save Check, the Coat is expended and they become Cursed. A Combatant can only be Cursed this way once per Scene.
Bonus: The user’s Dark and Ghost Type Attacks used as a Standard Action have a 17+ Effect Range of causing the Target to gain an Ominous Coat.  "
Opportunist_pte,"Scene x2 - Reaction
Trigger - An Enemy within 5m increases their Combat Stages
Effect: The user increases their Combat Stages for the same Stat by the amount increased by the Triggering Combatant
Bonus: When the user performs an Attack of Opportunity, they may use an At-Will damaging Attack instead of a Basic Attack so long as the only Target is the Triggering Enemy. "
Pack Hunt_pte,"Static
Effect: The user’s Attack of Opportunity can also be triggered when an Adjacent Enemy is hit by a non-Basic Attack from an Ally who is also Adjacent to that Enemy. An Attack of Opportunity can only be Triggered by you this way once per Round. Whenever you Trigger an Attack of Opportunity, you may choose for them to lose a Tick of Hit Points instead of performing a Damage Roll.  "
Parasitic Drain,"Scene x2 - Swift Action
Trigger - The user hits with an Adjacent Attack
Effect: The Attack is treated as having the Drain Keyword. If the user is at Full Hit Points, they instead gain Temporary Hit Points equal to the value they would have gained."
Parry_pte,"Scene x2 - Reaction
Keywords - Defensive
Trigger - The user is hit with an Attack from an Adjacent Enemy
Effect: The user resists the Attack by an additional Damage step. After this Ability resolves, the user may perform a Melee Attack as if it had the Priority and Sureshot Keyword but it must only be against the Triggering Enemy. "
Perish Body_pte,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by an Attack from an Enemy within 3m
Effect: The Triggering Enemy loses -1 Perish Counter or gains a Perish Coat, then they lose a Tick of Hit Points.
Bonus: Whenever an Enemy ends their Turn within 3m of the user, they gain a Perish Coat with 3 Perish Counters or they lose -1 Perish Counter. Whenever an Enemy has 0 Perish Counters left, you may choose to expend their Perish Coat and they’re set to 0 Hit Points. Whenever an Enemy is set to 0 this way, the user loses 5 Ticks of Hit Points. "
Pickpocket_pte,"At-Will - Free Action
Trigger - The user hits an Adjacent Enemy with an Attack
Effect: The user may either perform a Disarm Maneuver against the Target of the Triggering Attack as a Free Action, or have them lose -1 CS in a Stat they have Positive CS in. If they lose CS via this Ability, the user gains +1 CS in the same Stat."
Piercing Vision,"At-Will - Swift Action
Trigger - The user makes an Accuracy Check
Effect: The user rolls twice, keeping the better result
Bonus: The user’s Accuracy cannot be lowered, their attacks cannot have Accuracy Penalties, and the user ignores any non-stat Evasion. This ability does not ignore accuracy penalties from the Provoked Condition."
Poison Point_pte,"Static
Effect: The user’s Melee Attacks that do not have a Poisoned Effect Range gain one at 17+. The user's Poison Effect Ranges (Excluding the one granted by Poison Point) are increased by +2. The user’s Melee Attacks have a bonus to Critical Hit Range equal to your Tier Level if the Target is Poisoned."
Pollen Bomb,"At-Will - Special
Effect: Choose a Grass Type Damaging Attack on your Battle Attack List, then choose a space within 3m to create a Pollen Bomb Hazard. At the end of the next round, the Pollen Bomb Hazard is destroyed and the chosen Attack is used as a Free Action with its Range being a 3x3 Zone, centered on the Hazard and ignoring Frequency. This Ability costs a Swift Action to use as worded, but you may use it as a Full Action to create three Hazards instead and the range can be up to 6m. 
Note: If an Enemy would be hit by multiple Pollen Bombs at once, instead of applying the attack multiple times against them, it automatically hits but only applies once."
Poltergeist_pte,"Static
Keywords - Defensive
Effect: Rotom gains an Immunity to a Type of Damage depending on what Form it has taken. When using the Form Change Capability it may change to the form of its currently possessed item or back to Standard Rotom. These different forms may have different Battle Attack Lists. 

Standard Rotom: Ground
Rotom Heat: Fire
Rotom Wash: Water 
Rotom Frost: Ice 
Rotom Fan: Flying
Rotom Mow: Grass"
Polycephaly_pte,"Scene - Swift Action
Trigger - The user performs a Damaging X-Target Attack
Effect: The Attack's Range is increased by +1 Target. If it misses all Targets, this Ability's Frequency is not expended.
Bonus: The user's Basic Attacks gain the Double Strike Keyword."
Power of Alchemy_pte,"Scene x2 - Free Action
Keywords - Defensive
Trigger - The user hits a Melee Attack or is hit by a Melee Attack
Effect: Choose a non-Innate Ability that the Triggering Enemy or Target has. You learn that Ability until the end of the Scene or until you Faint or the Ability becomes Disabled. You cannot learn unique boss abilities this way. "
Power Spot_pte,"At-Will - Swift + Movement Action
Effect: Create a 3x3 Zone, centered on the user. Allies within this Zone gain a bonus to Damage Rolls equal to your Tier Value and a bonus to Accuracy equal to your Tier Level. When you Faint or gain a Mental Affliction, this Zone is removed. 
Bonus: Adjacent Allies gain these bonuses as well unless they're within this Zone."
Prankster_pte,"Static
Effect: The user may use Status Attacks as Priority. This cannot be used if the Status Attack would use an Action other than Standard Action."
Pressure_pte,"At-Will - Free Action
Trigger - An Enemy ends their Turn within 3m of you
Effect: The Triggering Enemy performs a TN 5 Save Check. On a failure, they become Suppressed. If they’re Adjacent, increase the TN by +5. If the user is Tier 3, increase the TN by +5. An Enemy can only become Suppressed this way once per Scene.
Bonus: The user’s Damaging Attacks cause Targets to become Suppressed on a 18+"
Pride_pte,"At-Will - Reaction
Trigger - The user is hit by an Attack or gains a Mental Affliction
Effect: After the Attack resolves, the user gains +1 CS in Special Attack or Special Defense.
Bonus: While the user has a Mental Affliction, they have a bonus to Damage Rolls equal to their Tier Value."
Primal Drum,"Scene x2 - Swift Action
Effect: The Range of the user's next Grass Type or Groundsource Attack may be changed to your choice of Burst 2; 6, 2, Targets, or Line 8. 
Bonus: The user's Groundsource Attacks gain the Smite Keyword."
Probability Control_pte,"At-Will - Reaction
Trigger - You or an Ally roll a d20
Effect: The Triggering d20’s result is replaced with your Stored d20’s value.
Bonus: As a Swift Action, you may roll a d20 and note its result. It becomes your Stored d20 Value. When you use Probability control, you no longer have a Stored d20 Value. If you use this Bonus Effect while you have a Stored d20 Value unused, it may replace the value with the new d20 result. "
Protean_pte,"At-Will - Swift Action
Trigger - The user uses an Attack.
Effect: Before the Attack is performed, the user’s Type(s) changes to match the Type of the triggering Attack. The user returns to their original type(s)(or lack thereof) at the end of the Scene."
Psychic Surge_pte,"Scene - Swift Action
Connection - Psychic Terrain. 
Effect: You may use Psychic Terrain as a Free Action, however it only lasts until the end of the next Round.
Bonus: At the end of the Round, if the Weather is Mystical, you may use a Reaction to gain +1 CS in a Stat of your choice."
Punk Rock_pte,"At-Will - Swift Action
Trigger - The user uses a Status Class Attack with the Sonic Keyword as a Standard Action
Effect: The Attack is treated as a Special Attack with a Damage Base of 6 that cannot be modified. Its effects remain the same.  
Bonus: The user gains +3 DB to damaging attacks with the Sonic keyword."
Pure Flame,"Static
Effect: While the user is Enraged, under 50% Max Hit Points or in Sunny Weather, their Fire Type Attacks have the following Modifiers. If it's Range is Blast, Burst or Line Range, it is increased by +1. Their Critical Hit and Effect Ranges are increased by your Tier Level. This bonus does not stack if multiple conditions are fulfilled."
Queenly Majesty_pte,"Scene x2 - Swift Action
Trigger - The user would perform a Save Check
Effect: The user automatically passes this Save Check without needing to roll. 
Bonus: After Queenly Majesty is used, the user’s next Damaging Attack gains the Smite Keyword. "
Quick Cloak_pte,"At-Will - Extended Action
Keywords - Innate
Effect: Burmy gathers materials from the nearby Terrain and creates a Cloak for Itself. The Forest or Grasslands Terrain gives it a Plant Cloak (Grass). Desert, Cave or Mountain Terrain give it a Sandy Cloak (Ground). Urban Terrain gives it Trash Cloak (Steel). While in a Cloak, Burmy gains the Type associated with the Cloak as a secondary Typing, which becomes permanent upon evolution into a Wormadam."
Quick Curl_pte,"Scene x2 - Reaction
Keywords - Defensive
Trigger - The user is hit by an Attack.
Connection - Defense Curl. 
Effect: Before the Attack's Damage Roll, the user may use Defense Curl as a Free Action, then gain Damage Reduction equal to your Tier Value until the start of your next Turn. If the user has a Rolled Coat, they gain an extra +5 DR per Counter they have for the same duration. "
Radiant Beam_pte,"Static
Effect: The user may use Grass Type Damaging Attacks as if they had the Range of “Line X”. X is equal to 4 plus the number of Positive Combat Stages in their corresponding Offensive Stat. If the Weather is Sunny, Attacks used this way gain the Smite Keyword as well. "
Ragelope_pte,"Static
Effect: The user's Physical Attacks gain the following Effect Range: On 18+, the user gains +1 CS in either Attack or Speed. While the user is Enraged this Effect Range is changed to 15+. Whenever the user gains a Status Affliction, they may become Enraged."
Raging Inferno,"At-Will - Reaction
Trigger - The user is hit by an Attack
Effect: The user's Fire Type Damaging Attacks have their DB increased by +2 until the end of the Scene, then, if not already, the user becomes Enraged.
Bonus: While the user is Enraged, the user's Fire Type Damaging Attacks have the Smite Keyword and have all Area of Effect Ranges increased by +1. "
Rain Dish_pte,"Scene - Swift Action
Effect: The user restores two Ticks of Hit Points or gains 2 Ticks of Temporary Hit Points or is cured of a Physical Status Affliction. If the user is in Rainy Weather, the Frequency of Rain Dish isn’t expended. This Ability can only ignore its Frequency twice in a Scene."
Rally_pte,"At-Will - Swift Action
Target - An Ally within 5m
Effect: The Target gains a Tick of Temporary Hit Points. If the Target is Dazed, Enraged, Entranced or Provoked they may roll a DC 15 Save Check and if they pass, they may cure one of those Afflictions or Conditions."
Razor Edge_pte,"Static
Connection - Poison Tail. The user gains a bonus to Critical Hit Ranges equal to their Tier Level. When using an Attack with “Tail” in its name, they have a Bonus to Damage Rolls equal to your Tier Value."
Reckless_pte,"At-Will - Free Action 
Effect: During this Turn you ignore Physical and Special Evasion on all Targets. The next Attack you're Targeted by treats you as if you were Vulnerable.
Bonus: The user gains +3 DB to Attacks with the Recoil or Reckless Keyword"
Refreshing Veil_pte,"Scene - Swift Action
Target - An Ally within 5m
Connection - Aqua Ring. 
Effect: The Target is cured of all Physical Afflictions. If the Target is affected by an Aqua Ring Coat, this Frequency is not expended, however they cannot be Targeted by Refreshing Veil for the remainder of the Scene. 
Bonus: While the Weather is Rainy, the user and all allies within 2m have a bonus to Save Checks equal to your Tier Level. "
Regal Challenge_pte,"Scene - Swift Action
Effect: Ask each Enemy within 5m if they will show Deference or Defiance. If a Combatant chooses Deference, they cannot Attack the user on their next turn (Ignoring Provoked), then lose -2 CS in a Stat of the user's Choice. If they choose Defiance, they become Provoked by the user until the end of their next Turn.  "
Regenerator_pte,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by a Damaging Attack and doesn't Faint
Effect: After Damage Resolution, the user restores a Tick of Hit Points.
Special: If the user was under 50% Hit Points when the Triggering Attack occurred, this may be used as a Free Action instead."
Reliquary,"Scene x2 - Free Action
Effect: The user may choose an Attack from their Known Attack List and use it as a Standard Action, as if it was on their Current Attack List.
Bonus: The user gains bonus Attack Slots equal to their Tier Level. Attacks that occupy these Slots must be Status Category."
Rip and Tear,"Scene - Swift Action
Trigger - The user hits with an Attack with the Bite Keyword
Effect: The user may either Initiate a Grapple Maneuver as a Free Action against the Target or cause them to become Wounded. 
Bonus: The user gains +3 DB to Attacks with the Bite Keyword."
Retribution,"Scene x2 - Reaction
Trigger - An Ally within 5m takes damage from a Super Effective attack or a Critical Hit; or an Ally Faints
Effect: The user’s next Damaging Attack against the combatant that made the Triggering Attack has its DB increased by +3 and gains the Smite Keyword. If the Trigger was an Ally fainting, it gains the Sureshot Keyword instead of the Smite Keyword and has its Critical Hit Range increased by your Tier Level as well. "
Rivalry_pte,"Scene - Free Action
Trigger - The Scene begins
Target - A Combatant on the Field
Effect: The Target becomes the user's Rival until the end of the Scene. 
Bonus: If the user's Rival causes a Combatant to Faint or a Boss to lose an HP Bar through a damaging attack, the user gains +2 CS in Attack or Special Attack. When Targeting an Enemy that the user’s Rival targeted since the user’s last Turn, the user gains a bonus to Damage Rolls equal to their Tier Value and a bonus to Accuracy equal to their Tier Level.  "
Rock Head_pte,"Static
Effect: The user ignores the Recoil Keyword when Attacking. Whenever the user activates the Dash or Pass Keyword, they may add a +2d6 Bonus to the Damage Roll against that Enemy. When the user reaches Level 20 and every interval after that (20, 40, etc), the Damage Bonus is increased by +1d6. (Ex: 4d6 At level 40)"
Rocket_pte,"At-Will - Free Action
Trigger - A Round begins
Effect: The user may immediately take their Turn, ignoring Initiative and acting alone instead of with another Ally. 
Bonus: The user has bonus Evasion equal to their Tier Level. "
