Attack Name,Type,Class,Frequency,Range,AC,DB,Effect,Versatile Effect,Attack Tier
Toxic Threads,Poison,Status,Scene x2,"6, 1 Target, Versatile",4,,The Target becomes Slowed and Poisoned. *Grants Threaded,The Target becomes Slowed or Poisoned. ,Tier 2
Toxin Drain,Poison,Status,Scene x2,"Self, Versatile",,,"The user restores 5 Ticks of Hit Points. Additionally, the user may remove the Poisoned Affliction from any Combatant(s) within 3m of them. If they do, they gain two Ticks of Temporary Hit Points per Combatant cured this way.","The Target is cured of the Poisoned Affliction. When used this way, its Range is changed to Melee, 1 Target.",Tier 2
Toxin Rain,Poison,Status,Scene x2,"6, Ranged Blast 3, Versatile",5,,"On a hit, all Targets become Poisoned. After this Attack resolves, create a Zone within the range of this Attack. Whenever a Combatant ends their Turn in this Zone, they become Poisoned. This Zone lasts until you Faint. ",All Targets become Poisoned.  ,Tier 2
Toxin Splash,Poison,Special,At-Will,"6, 1 Target",3,4,"On a roll of 17+, the Target becomes Poisoned.",--,Tier 1
Venom Claw,Poison,Physical,Scene x2,"Melee, 1 Target",4,6,"On an Even Roll, the Target becomes Poisoned. On an Odd Roll, they become Wounded.",--,Tier 2
Venom Drench,Poison,Status,EOT,"Close Blast 2, Versatile",,,"All Targets lose -2 CS in a Stat of your Choice. If they're Poisoned, they instead lose -2 CS in two stats of your choice and become Vulnerable until the end of the Round. Sureshot.","All Targets become Poisoned. When used this way, the AC becomes 4.",Tier 1
Venoshock,Poison,Special,Scene x2,"6, 1 Target",3,8,"If a Target hit by this Attack is Poisoned, you may cure them of the Affliction. If they are cured this way, they lose three Ticks of Hit Points.",--,Tier 2
Agility,Psychic,Status,EOT,"Self, Versatile",,,The user gains +2 CS in Speed. Their next Dash Attack gains the Smite Keyword.,The user gains +1 CS in Speed or they may perform their next Damaging Attack as if it had the Priority Keyword.,Tier 1
Ally Switch,Psychic,Status,Scene x2,"3, 1 Target, Trigger",,,"Ally Switch may be declared when an Enemy hits an Attack as a Standard Action + Reaction. The user chooses one willing ally within 3 meters; the Target and the user switch places. If the ally was a Target of an Attack, the user is now the Target; If the user was a Target of an Attack, the ally is now the Target. ",--,Tier 2
Amnesia,Psychic,Status,EOT,"Self, Versatile",,,The user gains +2 CS in Special Defense and is cured of a Mental Affliction,The user gains +1 CS in Special Defense.,Tier 1
Barrier,Psychic,Status,Scene x2,"6, Trigger, Versatile",,,"Choose 6 Unoccupied Spaces within the Range of this Attack to create Blocking Terrain in, such that all 6 Spaces are Adjacent to at least one other Blocking Terrain. Blocking Terrain created this way is [Breakable - Fragile]. Barrier may also be used as a Standard Action + Reaction when an Enemy uses a Ranged 1-Target or Line Attack, in which you must place the Terrain in a way to block the Line of Sight for that Attack.",Same as the normal Effects but you may only choose 2 Unoccupied Spaces and this can't be used as a Standard Action+Reaction.,Tier 2
Calm Mind,Psychic,Status,EOT,"Self, Versatile",,,Choose two different Effects to apply to the user: The user gains +2 CS in Special Attack. The user gains +2 CS in Special Defense. The user is cured of a Mental Affliction,The user gains +3 to their next Save Check this Round.,Tier 1
Cognition Strike,Psychic,Physical,EOT,"6, 1 Target",5,5,Double Strike.,--,Tier 1
Confusion,Psychic,Special,At-Will,"6, 1 Target",3,5,"On a roll of 19+, the Target becomes Dazed. If the Target has a Mental Affliction this has the Sureshot Keyword.",--,Tier 1
Cosmic Power,Psychic,Status,EOT,"Self, Versatile",,,"The user gains +2 CS to a Stat of their choice. If the user is in Space Terrain or Mystical Weather, they may instead choose two different Stats to gain +2 CS in.",The user gains +1 CS to a Stat of their Choice. Cosmic Power may only be used this way if the user is in Space Terrain or the Weather is Mystical.,Tier 1
Dream Eater,Psychic,Special,Scene x2,"3, 1 Target",,10,"Dream Eater can only Target a Combatant that is Drowsy.  Drain, Sureshot.",--,Tier 3
Dream Illusion,Psychic,Status,Scene x2,"4, 1 Target",,,Dream Illusion may only Target a Drowsy Combatant. Choose an Attack from the Target’s Attack List. The Target Pokemon then immediately uses that Attack on Target(s) of your choosing without expending frequency or their Actions. Sureshot.,--,Tier 2
Eerie Spell,Psychic,Special,EOT,"6, 1 Target",4,8,"If the Target has a Mental Affliction other than Disabled, they have a random Attack Disabled.",--,Tier 2
Esper Wing,Psychic,Special,EOT,"Melee, Pass",5,7,The Critical Hit Range for this Attack is extended for each Positive CS in the user’s Special Attack and Special Defense Stat.,--,Tier 1
Expanding Force,Psychic,Special,Scene x2,"Burst 1, Full Action, Groundsource ",5,8,"If the Field is affected by an Psychic Attack or the Weather is Mystical, Expanding Force may increase its Burst Range by up to +2. Smite",--,Tier 2
Extrasensory,Psychic,Special,EOT,"3, 1 Target",,8,Sureshot.,--,Tier 2
Force Dash,Psychic,Physical,EOT,"Melee, 1 Target, Dash",2,6,"On a roll of 17+, the Target becomes Dazed. If the Dash Keyword is Activated, Force Dash has the Pass Keyword.",--,Tier 1
Force Punch,Psychic,Physical,At-Will,"Melee, 1 Target, Punch",3,8,"On a roll of 17+, the Target becomes Dazed.",--,Tier 2
Future Sight,Psychic,Special,Scene x2,"10, 1 Target, Priority",,12,"Future Sight must be declared as a Priority Action at the start of a Round, choosing the Target but not resolving the Attack. At the end of the Round, the Attack is resolved, even if the user is Fainted. If the Target would faint between then, this Attack does not resolve. Sureshot ",--,Tier 3
Gravity,Psychic,Status,Scene x2,"Burst 3, Versatile",5,,"All Targets become Slowed. While Slowed this way, they cannot use the Flier Capability and Ground Type Immunity as a result of the Flying Type is ignored, being treated as Neutral Effectiveness instead. Friendly.","When used this way, choose an unoccupied space within 5m and a Combatant within 3m of the chosen space. The chosen Combatant Slides into the chosen space. If the Attack hits, they're also Slowed. Spirit Surge",Tier 2
Guard Split,Psychic,Status,Scene x2,"3, 1 Target",,,The Target's Defense and Special Defense CS are set to half their current CS Value (Rounded Down). Sureshot,--,Tier 2
Guard Swap,Psychic,Status,Scene x2,"5, 1 Target, Swift Action",,,"The user and the Target trade CS values for the Defense Stat, and then for the Special Defense Stat. Sureshot.",--,Tier 2
Heal Block,Psychic,Status,EOT,"6, 1 Target, Versatile",4,,The Target gains a Heal Mark. Combatants with a Heal Mark cannot restore Hit Points or Temporary Hit Points from any source.,"Same as the normal Effects, but the Target is cured of the Marked Condition at the end of the next Round.",Tier 1
Heal Pulse,Psychic,Status,Scene x2,"6m, 1 Target, Aura, Healing, Versatile",,,"The Target restores 5 Ticks of Hit Points. If the Weather is Mystical, this may also be used as if it were Burst 1.","The Target restores a Tick of Hit Points. When used this way, it doesn't expend the Frequency of Heal Pulse.",Tier 2
Heart Stamp,Psychic,Physical,EOT,"Melee, 1 Target",2,6,"On a roll of 17+, the Target becomes Entranced. If the Target is Entranced, this has the Sureshot Keyword.",--,Tier 1
Hypnosis,Psychic,Status,Scene x2,"4, 1 Target, Versatile",5,,"On a Hit, the Target becomes Drowsy. If the Target is Adjacent to the user, instead of an Accuracy Check you may perform an opposed Focus Check and if you succeed, they're hit by this Attack.","The Target becomes Drowsy. When used this way, the AC becomes 8. ",Tier 2
Imprison,Psychic,Status,Scene x2,"3, 1 Target, Versatile",,,The Target becomes Trapped and Suppressed. Sureshot.,The Target becomes Trapped. Sureshot.,Tier 2
Instruct,Psychic,Status,Scene x2,"Melee, 1 Target, Full Action",,,"The Target immediately reuses the attack it performed last, ignoring frequency, as a Reaction. They may choose new Targets for the Attack. Instruct may not be used if the Target's last Attack was a Set-Up Attack, a Trigger Attack, or Instruct.",--,Tier 2
Kinesis,Psychic,Status,Scene x2,"3, 1 Target, Trigger",,,Kinesis can only be used as a Swift Action + Reaction if the user or an Ally within 3m is about to be hit by a 1-Target Ranged Attack. The Triggering Attack receives an Accuracy Penalty equal to double your Tier Level. This may cause the Attack to miss instead. Sureshot.,--,Tier 2
Light Screen,Psychic,Status,Scene x2,"Blessing, Versatile",,,"Blessing – Any user affected by Light Screen may activate it as a Free Action when receiving Special Damage to resist the Damage one step. Light Screen may be Activated 2 times, and then disappears.","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Lumina Crash,Psychic,Special,EOT,Close Blast 2,6,8,"Lower the Targets’ Special Defense by -2 CS. On a hit and roll of 18+, Targets become Blinded until the end of their next Turn. Spirit Surge",--,Tier 2
Magic Coat,Psychic,Status,Scene x2,"Melee, 1 Target or Self; Coat",,,The Target gains a Magic Coat. Status Attacks that target Combatants with a Magic Coat suffer a -6 Penalty to Accuracy. The Magic Coat can be expended as a Reaction when hit with a Special Attack to reduce it by one damage step.,--,Tier 2
Magic Powder,Psychic,Status,Scene x2,"6, Ranged Blast 2, Hazard, Versatile",4,,"All Targets hit by this Attack become have a -2 Penalty to their next Save Check.Powder Hazards may then be set on the spaces in the range of this Attack until the end of the next Round. Whenever an Enemy triggers this Hazard they get a -2 Penalty to their next Save Check. 

Powder Hazard - Whenever an Enemy passes through or ends their turn on a Powder Hazard the Effect listed is applied. Users with the Breathless Capability ignore this Hazard.","When used this way, the Attack's range becomes 4, 1 Target. The Target gains a -2 Penalty to their next Save Check.",Tier 2
Magic Room,Psychic,Status,Scene,"Field, Versatile",,,"The area becomes Magical until you Faint. While Magical, all Save Checks suffer a -2 Modifier and whenever a Mental Affliction is gained it cannot be cured by the afflicted combatant's next Save Check.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 3
Meditate,Psychic,Status,Scene x2,"Self, Full Action, Healing; or Self, Movement Action, Healing",,,The user is cured of all Mental Afflictions if used as a Full Action. If used as a Movement Action the user is cured of a single Mental Affliction.,--,Tier 2
Mental Boost,Psychic,Status,Scene x2,"Self, Full Action",,,The user gains +3 CS in Special Attack or Special Defense. This cannot be used if the user has a Mental Affliction,--,Tier 2
Migraine,Psychic,Special,Scene,"6, 1 Target",5,10,"On a roll of 15+, the Target becomes Dazed. If the Target has a Mental Affliction, this Effect Range automatically Triggers. Spirit Surge.",--,Tier 3
Mind Crush,Psychic,Physical,Scene x2,"10, 1 Target",5,8,"For every Mental Affliction the Target has, add +4 to Mind Crush's Damage Base (Max DB 20)",--,Tier 2
Mind Flay,Psychic,Physical,Scene x2,"8, 1 Target",5,12,Mind Flay is a Critical Hit on a roll of 18+. This is extended by +2 if the Target has a Mental Affliction. Smite,--,Tier 3
Miracle Eye,Psychic,Status,Scene x2,"Self, Movement Action",,,"Until the end of the user's Turn, they ignore Special Evasion and whenever they use a Psychic Attack against a Dark Type Pokemon, it is treated as Neutral Effectiveness instead of Immune.",--,Tier 2
Mirror Coat,Psychic,Status,Scene x2,"6, 1 Target, Trigger",,,"Mirror Coat can only be used as a Standard Action + Reaction whenever you’re hit with a Damaging Special Attack from an Enemy in Range. After the Triggering Attack is resolved, if the user isn’t Fainted, perform this Attack against the Triggering Enemy. The Damage Base is equal to the Triggering Attack’s DB plus double your Tier Level. Sureshot",--,Tier 2
Mystical Overload,Psychic,Special,Scene,"Burst 1, Recoil 1/2, Set-Up",5,6,"Charge Effect: If the user is below 50% Hit Points or has a Mental Affliction, they gain an additional Charge Token
Resolution Effect: For each Charge Token Expended, add +1 to the Burst Range or +2 to the DB. Smite",--,Tier 2
Power Link,Psychic,Status,EOT,"2, 1 Target",,,Power Link can only be used as a Reaction whenever an Ally within 2m hits a Damaging Attack. You may choose to either apply your corresponding Offensive Stat towards the Damage Calculations of that Attack instead of its user or grant it a Damage Bonus equal to your Tier Value. ,--,Tier 1
Power Split,Psychic,Status,Scene x2,"3, 1 Target",,,The Target's Attack and Special Attack CS are set to half their current CS Value (Rounded Down). Sureshot,--,Tier 2
Power Swap,Psychic,Status,Scene x2,"5, 1 Target, Swift Action",,,"The user and the Target trade CS values for the Attack Stat, and then for the Special Attack Stat. Sureshot.",--,Tier 2
Power Trick,Psychic,Status,Scene x2,"Self, Swift Action",,,"The user's Attack stat and Defense stat or Special Attack and Special Defense are switched for the remainder of the encounter, or until the user is switched out or Fainted.",--,Tier 2
Psionic Boost,Psychic,Status,EOT,"Self, Versatile",,,"The user gains a Psionic Coat. The user may expend a Psionic Coat when successfully hitting an Psychic Damaging Attack to add its Damage Dice an extra time to the Damage Roll. This applies after any other Damage Base Modifiers such as a Critical Hit. 
Note: If the Damage Base would have the Attack be 2d6+8, this expended Coat turns it into 4d6+16. ",The user's next Psychic Type Damaging Attack adds +2 to its Damage Base and has the Smite Keyword.,Tier 2
Psionic Bash,Psychic,Physical,EOT,"Melee, 1 Target, Dash",3,9,"Psionic Bash may use either Attack or Special Attack as the Offensive Stat. If the Dash Keyword is Activated, this may also choose to use the higher of the the user's Defense or Special Defense as if it were the Offensive Stat. ",--,Tier 2
Psionic Surge,Psychic,Status,Scene x2,"Blessing, Versatile, Weather",,,"Blessing - Any user affected by Psionic Surge may activate it as a Free Action when using a Psychic Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Psionic Surge may be Activated 3 times and then disappears. While this Blessing persists, the Weather becomes Mystical.","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Psybeam,Psychic,Special,At-Will,"6, 1 Target",3,7,"On a roll of 18+, the Target becomes Dazed. Smite",--,Tier 1
Psy Bolt,Psychic,Physical,At-Will,"6, 1 Target",3,4,"On a roll of 18+, the Target becomes Dazed. Smite",--,Tier 1
Psychic,Psychic,Special,EOT,"5, 1 Target",4,9,"On a roll of 15+, the Target loses -2 CS in Special Defense. Slide 2. Spirit Surge. *Grants Telekinetic. ",--,Tier 2
Psychic Fangs,Psychic,Physical,EOT,"Melee, 1 Target, Bite",3,9,The Target cannot activate any Reactions or Blessings against this Attack.,--,Tier 2
Psychic Noise,Psychic,Special,EOT,"5, 1 Target or Close Blast 2; Sonic",5,7,"Until the end of their next Turn, Targets hit by this Attack cannot gain Combat Stages.",,Tier 1
Psychic Storm,Psychic,Status,Scene x2,"Field, Versatile, Weather",,,"The Field becomes Psionic for the next 5 Rounds. While the Field is Psionic, non Psychic Type Enemies lose a Tick of Hit Points at the start of their Turn and Psychic Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Psionic, the Weather becomes Mystical.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Psychic Terrain,Psychic,Status,Scene x2,"Field, Versatile, Weather",,,"The field becomes Weird for the next 5 Rounds. While the field is Weird, Priority Attacks and Reaction Attacks cannot be Triggered, and Psychic Type attacks ignore Speed Evasion. While the Field is Weird, the Weather may become Mystical.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Psycho Boost,Psychic,Special,Scene,"8, Ranged Blast 3, Full Action, Reckless",6,13,"After Damage Calculations, lower the Offensive Stat used for this Attack by -2 CS. Smite",--,Tier 3
Psycho Cut,Psychic,Physical,EOT,"6, 1 Target",3,7,Psycho Cut is a Critical Hit on a roll of 18+.,--,Tier 1
Psycho Shift,Psychic,Status,Scene x2,"6, 1 Target, Healing",,,The user is cured of a Status Affliction and the Target is given that Status Affliction. Psycho Shift can only be used if the Target does not have the bestowed Affliction and is not Immune to it. Sureshot.,--,Tier 2
Psycho Slash,Psychic,Physical,Scene x2,"Melee, Pass, Dash",6,11,"Psycho Slash is a Critical Hit on a roll of 18+. If the Dash Keyword is Activated, this has the Sureshot Keyword.",--,Tier 3
Psyshock,Psychic,Special,At-Will,"4, 1 Target",4,8,"During Damage Calculations, Targets hit by this Attack use their Defense instead of Special Defense when subtracting from the Damage Roll. ",--,Tier 2
Psywave,Psychic,Special,EOT,Close Blast 2 or Burst 1,5,,X is equal to 3 + double your Tier Level. Slide 1 (Away),--,Tier 3
Reflect,Psychic,Status,Scene x2,"Blessing, Versatile",,,"Blessing – Any user affected by Reflect may activate it as a Free Action when receiving Physical Damage to resist the Damage one step. Reflect may be Activated 2 times, and then disappears.","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Rest,Psychic,Status,Scene x2,"Self, Healing",,,"The user becomes Drowsy and is cured of all of their other Afflictions. When the Drowsy Affliction is cured, the user restores 5 Ticks of Hit Points. If the user was Drowsy for at least two of their Turns, they instead are reset to Full HP. This cannot be used if the user is Immune to the Drowsy Affliction. ",--,Tier 2
Role Play,Psychic,Status,Scene,"Melee, 1 Target, Swift Action",,,"The user loses one of their Abilities, then gains one Ability that the Target knows. Both Abilities are chosen at Random and revert when the user is recalled or faints. Boss Abilities or Innate Abilities cannot be gained or lost this way, nor can this be used if the user does not have a legal Ability to lose. Sureshot.",--,Tier 3
Skill Swap,Psychic,Status,Scene x2,"Melee, 1 Target, Swift Action",5,,"When this Attack hits, choose one of your Abilities to lose, then the controller of the Target chooses an Ability for them to lose. Both Targets gain Ability that the other lost for the remainder of the Scene. Boss Abilities cannot be chosen via Skill Swap.",--,Tier 2
Speed Swap,Psychic,Status,Scene x2,"Melee, 1 Target, Swift Action",,,The user and the Target trade Speed CS Values. Sureshot,--,Tier 2
Stored Power,Psychic,Special,Scene x2,"10, 1 Target, Set-Up",3,4,"Charge Effect: You may lose any number of Positive CS to gain one more Charge Token per 2 CS lost this way. 
Resolution Effect: For each Charge Token expended, increase the DB of this Attack by +2 and the Crit Range by +1. Smite",--,Tier 2
Telekinesis,Psychic,Status,Scene x2,"4, 1 Target, Versatile",3,,"The AC of this Attack is increased by 3 if the Target is Weight Class 5+. The Target gains a Lifted Mark. While Lifted, they are Vulnerable and cannot move through their own Actions. As a Movement Action, Lifted Combatants can perform a Focus Check opposed by your Focus and if they win, they have the Lifted Mark removed. Each time they would fail this Check, they gain +2d6 to their next Focus Check to cure this (+2d6 then +4d6...)
*Grants Telekinetic","When used this way, it does not expend the Frequency of Telekinesis. If this Targets an Enemy with your Lifted Mark, you may have them Slide up to 4m instead. Slide 2. Sureshot.",Tier 2
Teleport,Psychic,Status,Scene x2,"Self, Shield, Trigger",,,"If the user is hit by a non Adjacent Attack, the user may use Teleport as a Standard Action + Reaction. The Triggering Attack misses the user. After this resolves, the user must Teleport to any unoccupied space within 3m. *Grants Teleporter",--,Tier 2
Trick,Psychic,Status,Scene x2,"5, 1 Target, Versatile",,,"You may perform a Disarm, Distract, Hinder, Push or Trip Maneuver against the Target, ignoring Range, as a Free Action. The Maneuver Automatically hits and you automatically pass the Opposed Check. This cannot Target the same Enemy more than once per Scene. Sureshot.",Same as the normal Effects but you don't automatically pass the Opposed Check and must perform as normal. Sureshot,Tier 2
Trick Room,Psychic,Status,Scene,"Field, Versatile",,,"For the next 3 Rounds, whenever a Combatant would gain a positive Modifier or increase CS, it becomes a Penalty instead or they lose the same amount of CS instead. If they would lose CS or gain a Penalty, it becomes a bonus instead or they gain the same amount of CS instead. ","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 3
Twin Beam,Psychic,Special,EOT,"6, 2 Targets; or 6, 1 Target",6,5,"Twin Beam may deal Normal Type Damage if the user wishes. If Twin Beam has 1 Target, it has the Double Strike Keyword.",--,Tier 1
Wonder Room,Psychic,Status,Scene,"Field, Versatile",,,"for the next 5 Rounds, the area is considered Wondered. While Wondered, when a combatant deals damage with an attack they may choose if that damage is Physical or Special.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 3
Zen Headbutt,Psychic,Physical,EOT,"Melee, 1 Target, Dash",3,8,"If the Dash Keyword is Activated, you may choose which Stat the Target applies towards calculating Damage for this Attack, between Defense or Special Defense.",--,Tier 2
Accelerock,Rock,Physical,At-Will,"Melee, 1 Target, Priority ",2,4,--,--,Tier 1
Ancient Power,Rock,Special,EOT,"6, 1 Target",3,6,"This Attack has a +1 bonus to Accuracy for each Stat the user has Positive CS in. If the user has 3+ CS in any Stat, this may be used as if its Range were 6, Ranged Blast 2, instead.",--,Tier 1
Ancient Strike,Rock,Physical,EOT,"Melee, Dash, Recoil 1/3",3,9,"On a roll of 19+, the user gains +1 CS in all Stats. When the Dash Keyword is Activated, this Effect Range is increased by +3. Smite",--,Tier 2
Crystal Cyclone,Rock,Special,Scene x2,"8, Ranged Blast 3, Full Action",6,10,"After this Attack resolves, create a Zone within the Range of this Attack. Enemies are Vulnerable against Rock Type Attacks while they’re within this Zone. Unless the Weather is Sandstorm, the Zone lasts until you use a Reaction, use an Attack or Faint. Spirit Surge",--,Tier 3
Crystal Daggers,Rock,Special,EOT,"6, 1 Target; or 6, 2 Targets",6,5,"If this Attack only has one Target, it has the Double Strike Keyword. ",--,Tier 1
Crystal Prison,Rock,Special,Scene x2,"3, 1 Target",4,10,The Target becomes Trapped. You may destroy two Stealth Rock Hazards within 5m of the Target to make this Attack gain the Spirit Surge Keyword. Smite,--,Tier 3
Crystal Rupture,Rock,Special,EOT,"Burst 1, Groundsource",5,6,"If the Target is on a Hazard or Rough Terrain, Crystal Rupture has the Sureshot Keyword.",--,Tier 1
Crystalize,Rock,Status,EOT,"Self or Melee, 1 Target; Versatile",,,The Target gains +2 CS in Defense. The Target also gains DR equal to your Tick Value until the end of your next Turn.,The Target gains DR equal to your Tick Value until the end of your next Turn.,Tier 1
Diamond Dust,Rock,Status,Scene x2,"Blessing, Versatile, Weather",,,"Blessing - Any user affected by Diamond Dust may activate it as a Free Action when using a Rock Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Diamond Dust may be Activated 3 times and then disappears. While this Blessing persists, the Weather becomes Sandstorm.","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Fossilize,Rock,Status,Scene x2,"Melee, 1 Target, Versatile, Coat",,,"The Target gains a Fossilized Coat. While affected by a Fossilzed Coat, the affected Ally may use the user's Defense Stat when calculating Damage or Evasion against Physical Attacks. As a Reaction, you may reduce the damage effectiveness of a Physical Attack by one step, then after the Attack resolves, the Fossilized Coat is expended. ",Same as the normal Effects but it cannot be expended by its listed methods and the Coat is expended after resolving a Physical Attack the Target is hit by.,Tier 2
Geode Beam,Rock,Special,EOT,"6, 1 Target",4,9,"On a roll of 18+, the Target becomes Wounded. Smite",--,Tier 2
Gleaming Ore,Rock,Special,EOT,Close Blast 2,6,8,"If the Weather is Sandstorm or on a Miss, the Target has a -2 Penalty to Accuracy until the end of their next Turn. Spirit Surge",--,Tier 2
Head Smash,Rock,Physical,Scene,"Melee, 1 Target, Full Action, Dash, Recoil 1/3",5,15,"If the Dash Keyword is Activated, the Target cannot apply Physical Evasion against this Attack. Slide 3 (Away).",--,Tier 3
Meteor Beam,Rock,Special,Scene,"8, Ranged Blast X, Set-Up",5,10,"Charge Effect: If the Weather is Rainy, you cannot use this Charge Effect. If the Weather is Sandstorm, you instead gain 2 Charge Tokens. 
Resolution Effect: X is equal to 1 plus the number of Charge Tokens you expend. Smite",--,Tier 3
Meteor Shower,Rock,Special,Scene x2,"8, Ranged Blast 3, Full Action",6,10,"After the Attack's Resolution, you may create a 3x3 Zone in the Range of the Attack. At the end of each subsequent Round, you must use Meteor Shower against all Combatants in this Zone as a Free Action, but they resist it an additional damage step. You may remove the Zone as a Swift Action. Spirit Surge. Smite",--,Tier 3
Power Gem,Rock,Special,At-Will,"6, 1 Target",4,8,"If the Weather is Sandstorm, this ignores Special Evasion.",--,Tier 2
Rock Blast,Rock,Physical,EOT,"6, 1 Target",5,4,"If Rock Blast hits at least 4 times, the Target becomes Wounded. Five Strike",--,Tier 1
Rock Polish,Rock,Status,EOT,"Self, Versatile",,,Choose two different Effects to apply to the user: The user gains +2 CS in Defense. The user gains +2 CS in Speed. The user is cured of a Physical Affliction.,"If the user has a Physical Status Affliction, they gain +3 to their next Save Check.",Tier 1
Rock Slide,Rock,Physical,Scene x2,"6, Ranged Blast 3, Full Action",6,8,"If the user is in Mountain or Cave Terrain, Rock Slide has the Sureshot Keyword. Smite",--,Tier 2
Rock Throw,Rock,Physical,At-Will,"6, 1 Target",3,5,Smite,--,Tier 1
Rock Tomb,Rock,Physical,EOT,"6, 1 Target",3,7,The user may choose up to 3 unoccupied spaces adjacent to the Target to create [Breakable - Fragile] Blocking Terrain in. Spirit Surge,--,Tier 1
Rock Wrecker,Rock,Physical,Scene,"4, 1 Target, Full Action",5,15,"Rock Wrecker cannot be resisted outside of the Smite Keyword. If the Target is Small, this has the Sureshot Keyword. Unstoppable. Smite",--,Tier 3
Rollout,Rock,Physical,At-Will,"Melee, Pass, Dash",5,5,"The user gains 2 Rolled Counters. The user has a bonus to Damage Base for their Dash Attacks equal to their Rolled Counters. While they have Rolled Counters, they do not trigger Attacks of Opportunity when moving. The user loses all Rolled Counters if they miss a Dash Attack. Spirit Surge.",--,Tier 2
Sandstorm,Rock,Status,Scene x2,"Field, Versatile, Weather",,,"The Field becomes Sandstorming for the next 5 Rounds. While the Field is Sandstorming, non Ground or Rock Type Enemies lose a Tick of Hit Points at the start of their Turn and Ground and Rock Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Sandstorming, the Weather becomes Sandstorm.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Salt Cure,Rock,Physical,Scene x2,"3, 1 Target",3,7,"On a roll of 17+, the Target becomes Wounded. If the Target is Steel or Water Type, this Effect Range automatically triggers.",--,Tier 2
Smack Down,Rock,Physical,Scene x2,"8, 1 Target",3,7,"The Target loses the Flier Capability until the end of the Scene and is no longer Immune to Ground Type Attacks if applicable (Becoming Neutral Effectiveness). These Effects can be removed by the Target if they use both a Swift and Movement Action. On a roll of 16+, the Target becomes Tripped. Spirit Surge",--,Tier 2
Stealth Rock,Rock,Status,Scene x2,"6, Hazard, Swift Action",,,"Choose 6 Spaces within the Range of this Attack to create Stealth Rock Hazards in, such that all 6 Spaces are Adjacent to at least one other Stealth Rock Hazard.

Stealth Rock Hazard - Spaces with Stealth Rock Hazards are treated as Rough Terrain. Any Enemy that would move through a space this Hazard occupies or is adjacent to loses a Tick of Hit Points, then this Hazard is destroyed. If the Triggering Enemy would be Weak to Rock Type Attacks, they lose Two Ticks.",--,Tier 2
Stone Axe,Rock,Physical,Scene x2,Line 4 ,6,8,"On an Even Roll, all Targets become Vulnerable until the end of the next Round. On an Odd Roll, all Targets become Wounded. Smite",--,Tier 2
Stone Edge,Rock,Physical,EOT,"8, 1 Target ",4,10,Stone Edge is a Critical Hit on a roll of 17+. Smite,--,Tier 3
Stone Pillar,Rock,Physical,Scene x2,"4, Ranged Blast 2, Groundsource",6,9,"After this Attack resolves, as a Swift Action, the user may create a [Fragile - Breakable] Blocking Terrain any number of spaces within this Range. Slide 2, Smite. Spirit Surge. *Grants Groundshaper",--,Tier 2
Stygian Stone,Rock,Special,At-Will,"4, 1 Target",3,4,"On a roll of 18+, the Target becomes Wounded. Smite",--,Tier 1
Subterranean Strike,Rock,Physical,EOT,"3, 2 Targets, Full Action, Groundsource ",6,8,"When using this Attack, you may use a Movement Action to treat this as having the Sureshot Keyword. *Grants Burrower",--,Tier 2
Tar Blast,Rock,Special,Scene,"8, 1 Target or Close Blast 2",6,10,All Targets gain a Tar Coat. A Tar Coat is automatically expended upon being hit with a Fire Type attack in order to increase it by one damage step. (Max 1.5x Effectiveness) Spirit Surge.,--,Tier 3
Tar Shot,Rock,Status,Scene x2,"Close Blast 3, Versatile",5,,"All Targets gain a Tar Coat. While a Combatant has a Tar Coat, they are Slowed. A Tar Coat is automatically expended upon being hit with a Fire Type attack in order to increase it by one damage step. (Max 1.5x Effectiveness)","All Spaces within the Range of this Attack become Slick Hazards.

Slick Hazards - Slick Hazards are treated as Slow Terrain, however it takes 3m of Movement to move through one of these spaces. It may be treated as normal Terrain, however at the end of the Movement, they must pass a CR X Acrobatics Check, where X is equal to the number of Slick Hazards moved through (Rounded Up) or else they become Tripped.",Tier 2
