Name,Frequency,Base Effect,Trigger,Target,Keywords,Effect
Shadow Shield,Scene - Reaction,"Effect: The Target of the Triggering Attack gains 3 Ticks of Temporary Hit Points. If the user is in Foggy Weather, you may choose to not expend the Frequency of Shadow Shield but it only Triggers against non-Adjacent Damaging Attacks.",The user or an Ally within 2m is hit by a Damaging 1-Target Attack ,,Defensive,"Scene - Reaction
Keywords - Defensive
Trigger - The user or an Ally within 2m is hit by a Damaging 1-Target Attack 
Effect: The Target of the Triggering Attack gains 3 Ticks of Temporary Hit Points. If the user is in Foggy Weather, you may choose to not expend the Frequency of Shadow Shield but it only Triggers against non-Adjacent Damaging Attacks."
Shadow Tag,At-Will - Swift Action,Effect: The Target is considered to be Trapped as if it was Inflicted by their Shadow (Their current space). The Trapped Condition inflicted this way may be cured as a Swift+Movement Action.,,An adjacent Trainer or Pokémon,,"At-Will - Swift Action
Target - An adjacent Trainer or Pokémon
Effect: The Target is considered to be Trapped as if it was Inflicted by their Shadow (Their current space). The Trapped Condition inflicted this way may be cured as a Swift+Movement Action."
Shed Skin,At-Will - Swift or Movement Action  ,"Effect: The user loses all Temporary Hit Points and loses a Tick of HIt Points, then if they lost Hit Points this way, they are cured of a Physical Affliction.",,,,"At-Will - Swift or Movement Action  
Effect: The user loses all Temporary Hit Points and loses a Tick of HIt Points, then if they lost Hit Points this way, they are cured of a Physical Affliction."
Sheer Force,Static,"Effect: All of the user’s Damaging Attacks have their Effects Ranges replaced with the following text. “On a 17+, this Attack is one step more effective but cannot exceed 1.5x”. Effect Ranges Modifiers cannot apply to this Effect Range. Whenever the user hits a Damaging Attack that did not Trigger this Effect Range, they have a Damage Bonus equal to their Tier Value. ",,,,"Static
Effect: All of the user’s Damaging Attacks have their Effects Ranges replaced with the following text. “On a 17+, this Attack is one step more effective but cannot exceed 1.5x”. Effect Ranges Modifiers cannot apply to this Effect Range. Whenever the user hits a Damaging Attack that did not Trigger this Effect Range, they have a Damage Bonus equal to their Tier Value. "
Shell Armor,At-Will - Reaction,"Effect: The user gains a Tick of Temporary Hit Points, however the user's next Damaging Attack has its damage reduced by their Tick value (Rounded Down).",The user is hit by a Damaging Attack,,Defensive,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by a Damaging Attack
Effect: The user gains a Tick of Temporary Hit Points, however the user's next Damaging Attack has its damage reduced by their Tick value (Rounded Down)."
Shell Shield,Scene x2 - Free Action,"Connection - WIthdraw. 
Effect: The user gains a Shelled Coat that can be expended as a Reaction upon being hit with a Physical Attack. That Attack is resisted by an additional step. 
Bonus: While the user has a Shelled or Withdrawn Coat, they have Damage Reduction equal to their Tier Value. 
","The user uses a ""Self"" Range Attack",,,"Scene x2 - Free Action
Trigger - The user uses a ""Self"" Range Attack
Connection - WIthdraw. 
Effect: The user gains a Shelled Coat that can be expended as a Reaction upon being hit with a Physical Attack. That Attack is resisted by an additional step. 
Bonus: While the user has a Shelled or Withdrawn Coat, they have Damage Reduction equal to their Tier Value. 
"
Shields Down,Static,"Effect: While the user has more than 50% Hit Points, they remain in their Meteor Form. When they fall below 50% Hit Points, they change to their Core Form until the end of the Scene. While in their Meteor Form, they are Immune to Physical Afflictions. When the user enters Core Form, their Defense Combat Stages may switch with their Attack CS and their Special Defense CS may switch with their Special Attack CS.",,,Innate,"Static
Keywords - Innate
Effect: While the user has more than 50% Hit Points, they remain in their Meteor Form. When they fall below 50% Hit Points, they change to their Core Form until the end of the Scene. While in their Meteor Form, they are Immune to Physical Afflictions. When the user enters Core Form, their Defense Combat Stages may switch with their Attack CS and their Special Defense CS may switch with their Special Attack CS."
Silk Threads,At-Will - Swift Action,"Connection - String Shot. 
Effect: Choose an unoccupied Space within 3m of the Target to create a Silk Hazard. This Hazard has 1 HP but may be destroyed as a Swift Action by an Adjacent Enemy. While Hazard is not destroyed, the Target is Trapped by it. The Target however may ignore the Trapped Condition, moving more than 3m away from the Silk Hazard, but if they do, the Silk Hazard is destroyed then the Target becomes Slowed. 
Bonus: As a Movement Action, the user may create Slowed Terrain in a Close Blast 2 range. ","The user hits a Single Enemy with an Attack",,,"At-Will - Swift Action
Trigger - The user hits a Single Enemy with an Attack
Connection - String Shot. 
Effect: Choose an unoccupied Space within 3m of the Target to create a Silk Hazard. This Hazard has 1 HP but may be destroyed as a Swift Action by an Adjacent Enemy. While Hazard is not destroyed, the Target is Trapped by it. The Target however may ignore the Trapped Condition, moving more than 3m away from the Silk Hazard, but if they do, the Silk Hazard is destroyed then the Target becomes Slowed. 
Bonus: As a Movement Action, the user may create Slowed Terrain in a Close Blast 2 range. "
Simple,Static,"Effect: The first time the user would gain CS through an Attack or Ability each Round, it is increased by +1. The first time the user would lose CS through an Attack or Ability each Round, they lose an additional -1 CS in that Stat. ",,,,"Static
Effect: The first time the user would gain CS through an Attack or Ability each Round, it is increased by +1. The first time the user would lose CS through an Attack or Ability each Round, they lose an additional -1 CS in that Stat. "
Sky Diver,Scene x2 - Swift Action,"Effect: The user’s next Damaging Attack has its Range changed to Burst 1, Burst 2 or Melee, Pass. Enemies cannot apply Physical or Special Evasion against this Attack..",,,,"Scene x2 - Swift Action
Effect: The user’s next Damaging Attack has its Range changed to Burst 1, Burst 2 or Melee, Pass. Enemies cannot apply Physical or Special Evasion against this Attack.."
Slush Rush,Static,"Effect: The user may perform Ice Type Attacks as if they had the Priority Keyword. While the Weather is Snowy, the user cannot trigger Attacks of Opportunity and cannot be Slowed.",,,,"Static
Effect: The user may perform Ice Type Attacks as if they had the Priority Keyword. While the Weather is Snowy, the user cannot trigger Attacks of Opportunity and cannot be Slowed."
Sniper,Scene - Movement Action + Reaction,"Effect: The user’s next Ranged 1-Target Attack gains the Sureshot Keyword. If the user has no Combatants within 2m of them, the Frequency of this Ability is not expended.
Bonus: If the user Critically hits a Ranged 1-Target Attack, they gain a Damage Bonus equal to their Tier Value. 
",,,,"Scene - Movement Action + Reaction
Effect: The user’s next Ranged 1-Target Attack gains the Sureshot Keyword. If the user has no Combatants within 2m of them, the Frequency of this Ability is not expended.
Bonus: If the user Critically hits a Ranged 1-Target Attack, they gain a Damage Bonus equal to their Tier Value. 
"
Snow Cloak,Static,"Effect: The user and allies within 2m have a bonus to Evasion equal to your Tier Level. While the Weather is Snowy or the user is in Tundra Terrain, they are Immune to Critical Hits, instead becoming normal hits.  ",,,Defensive,"Static
Keywords - Defensive
Effect: The user and allies within 2m have a bonus to Evasion equal to your Tier Level. While the Weather is Snowy or the user is in Tundra Terrain, they are Immune to Critical Hits, instead becoming normal hits.  "
Snow Warning,At-Will - Swift Action,"Effect: The Weather becomes Snowy. 
Bonus: While the Weather is Snowy, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat.",,,,"At-Will - Swift Action
Effect: The Weather becomes Snowy. 
Bonus: While the Weather is Snowy, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat."
Snuggle,At-Will - Swift Action,Effect: The user and the Target gain a Tick of Temporary Hit Points and a bonus to their next Save Check equal to your Tier Level. ,,An Adjacent Ally,,"At-Will - Swift Action
Target - An Adjacent Ally
Effect: The user and the Target gain a Tick of Temporary Hit Points and a bonus to their next Save Check equal to your Tier Level. "
Solar Conversion,At-Will - Swift Action,"Effect: When the user uses Attacks this Turn, you are treated as being in Sunny Weather for the sake of their Effects.
Bonus: When the user ends their Turn in Sunny Weather or while under 50% Hit Points, they gain +1 CS in a Stat of their choice.",,,,"At-Will - Swift Action
Effect: When the user uses Attacks this Turn, you are treated as being in Sunny Weather for the sake of their Effects.
Bonus: When the user ends their Turn in Sunny Weather or while under 50% Hit Points, they gain +1 CS in a Stat of their choice."
Solar Power,At-Will - Swift Action,"Effect: The user loses a Tick of Hit Points, and gains a bonus to the Triggering Damage Roll equal to their Tick Value. If the Weather is Sunny, Solar Power may be used as a Free Action instead.",The user performs a Damage Roll,,,"At-Will - Swift Action
Trigger - The user performs a Damage Roll
Effect: The user loses a Tick of Hit Points, and gains a bonus to the Triggering Damage Roll equal to their Tick Value. If the Weather is Sunny, Solar Power may be used as a Free Action instead."
Solid Ice,Scene - Reaction,"Effect: The Triggering Attack is resisted by an additional damage step. 
Bonus: While the Weather is Snowy, the user has Damage Reduction against Physical Attacks equal to their Tier Value.",The user is hit by a Super Effective Attack,,Defensive,"Scene - Reaction
Keywords - Defensive
Trigger - The user is hit by a Super Effective Attack
Effect: The Triggering Attack is resisted by an additional damage step. 
Bonus: While the Weather is Snowy, the user has Damage Reduction against Physical Attacks equal to their Tier Value."
Solid Rock,Scene - Reaction,"Effect: The Triggering Attack is resisted by an additional damage step. 
Bonus: While the Weather is Sandstorm, the user has Damage Reduction against Super Effective Attacks equal to their Tier Value",The user is hit by a Super Effective Attack,,Defensive,"Scene - Reaction
Keywords - Defensive
Trigger - The user is hit by a Super Effective Attack
Effect: The Triggering Attack is resisted by an additional damage step. 
Bonus: While the Weather is Sandstorm, the user has Damage Reduction against Super Effective Attacks equal to their Tier Value"
Soothing Tone,At-Will - Swift Action,"Connection - Heal Bell. 
Effect: All Allied Targets of the Triggering Attack gain Temporary Hit Points equal to the higher of the user's Total Special Attack or Special Defense (Excludes CS). 
Bonus: Whenever the user uses a Sonic Attack, all allies within 3m have a bonus to their next Save Check equal to your Tier Level. ",You Target an Ally within 3m with an Attack,,,"At-Will - Swift Action
Trigger - You Target an Ally within 3m with an Attack
Connection - Heal Bell. 
Effect: All Allied Targets of the Triggering Attack gain Temporary Hit Points equal to the higher of the user's Total Special Attack or Special Defense (Excludes CS). 
Bonus: Whenever the user uses a Sonic Attack, all allies within 3m have a bonus to their next Save Check equal to your Tier Level. "
Sorcery,Static,"Effect: The user adds +5 Points to their Special Attack Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. The user may use Physical Category Attacks as if they were Special. If they do, their Range is changed to 4, 1 Target.",,,Innate,"Static
Keywords - Innate
Effect: The user adds +5 Points to their Special Attack Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. The user may use Physical Category Attacks as if they were Special. If they do, their Range is changed to 4, 1 Target."
Soulstealer,At-Will - Swift Action,"Effect: The user either restores 2 Ticks of Hit Points, or gains +1 CS in the Target’s highest Base Stat (Choose on tie). The user may only Target an Combatant once per Scene this way.",,An Adjacent Fainted Combatant,,"At-Will - Swift Action
Target - An Adjacent Fainted Combatant
Effect: The user either restores 2 Ticks of Hit Points, or gains +1 CS in the Target’s highest Base Stat (Choose on tie). The user may only Target an Combatant once per Scene this way."
Sound Lance,Scene x2 - Swift Action,"Connection - Supersonic. 
Effect: The range of the Attack is changed to Line 8. If the range would collide with Blocking or Cover Terrain, create a 3x3 Zone where the point of impact would be. All Combatants in that Zone are also Targeted by the Triggering Attack and it has Sureshot against them.",The user would use a Sonic Attack,,,"Scene x2 - Swift Action
Trigger - The user would use a Sonic Attack
Connection - Supersonic. 
Effect: The range of the Attack is changed to Line 8. If the range would collide with Blocking or Cover Terrain, create a 3x3 Zone where the point of impact would be. All Combatants in that Zone are also Targeted by the Triggering Attack and it has Sureshot against them."
Spectral Cloak,Static,"Effect: The user and allies within 2m have a bonus to Evasion equal to your Tier Level. While the Weather is Foggy or the user is in Low Lighting, they are Immune to Critical Hits, instead becoming normal hits. ",,,Defensive,"Static
Keywords - Defensive
Effect: The user and allies within 2m have a bonus to Evasion equal to your Tier Level. While the Weather is Foggy or the user is in Low Lighting, they are Immune to Critical Hits, instead becoming normal hits. "
Spectral Legion,Static,"Effect: Whenever the user attacks a single Pokemon that has a Size Category of Large or higher, their Damaging Attacks are treated as +3 higher Damage Base. Whenever the user causes one of these qualifying Pokemon to faint or lose an HP Bar, the user gains +2 CS in Attack.",,,,"Static
Effect: Whenever the user attacks a single Pokemon that has a Size Category of Large or higher, their Damaging Attacks are treated as +3 higher Damage Base. Whenever the user causes one of these qualifying Pokemon to faint or lose an HP Bar, the user gains +2 CS in Attack."
Speed Boost,Static,"Connection - Agility. 
Effect: At the end of each Round, the user gains +1 CS in Speed and is cured of the Slowed Affliction if applicable.  
Bonus: The user gains the Quick Capability",,,,"Static
Connection - Agility. 
Effect: At the end of each Round, the user gains +1 CS in Speed and is cured of the Slowed Affliction if applicable.  
Bonus: The user gains the Quick Capability"
Spiked Shelter,Scene x2 - Standard Action,"Effect: The Target cannot be Targeted by Attacks until the start of the user's next Turn. If they would be included in an Area of Effect, they take no Damage from the Attack. For this Duration, the user becomes Vulnerable but resists all Physical Attacks by an additional Damage Step and if they're hit by a Melee Attack, the Attack is treated as having the Recoil 1/2 Keyword.",,An Adjacent Ally,,"Scene x2 - Standard Action
Target - An Adjacent Ally
Effect: The Target cannot be Targeted by Attacks until the start of the user's next Turn. If they would be included in an Area of Effect, they take no Damage from the Attack. For this Duration, the user becomes Vulnerable but resists all Physical Attacks by an additional Damage Step and if they're hit by a Melee Attack, the Attack is treated as having the Recoil 1/2 Keyword."
Spike Shot,Static,"Effect: The user may use Attacks with a Range of “Melee, 1-Target” as if they had a Range of “8, 1-Target” instead.The user's attacks Bleed the target on 18+ or extend their Bleed effect range by +2.",,,,"Static
Effect: The user may use Attacks with a Range of “Melee, 1-Target” as if they had a Range of “8, 1-Target” instead.The user's attacks Bleed the target on 18+ or extend their Bleed effect range by +2."
Spirit Fire,Scene x2 - Swift Action,"Effect: They are also Burned. 
Bonus: The user’s Burn Effect Ranges have a bonus equal to your Tier Level. The user is Immune to Fire Type Attacks. ","The user Curses, Dazes or Suppresses an Enemy",,Defensive,"Scene x2 - Swift Action
Keywords - Defensive
Trigger - The user Curses, Dazes or Suppresses an Enemy
Effect: They are also Burned. 
Bonus: The user’s Burn Effect Ranges have a bonus equal to your Tier Level. The user is Immune to Fire Type Attacks. "
Spray Down,Scene x2 - Swift Action,"Effect: The Target becomes Slowed. While the Target is Slowed this way, their Movement Capabilities are disabled. If the Target is Flying Type, they are no longer Immune to Ground Type Attacks while Slowed this way. A Target can only be affected by Spray Down once per Scene. ",The user hits a 1-Target Ranged Attack,,,"Scene x2 - Swift Action
Trigger - The user hits a 1-Target Ranged Attack
Effect: The Target becomes Slowed. While the Target is Slowed this way, their Movement Capabilities are disabled. If the Target is Flying Type, they are no longer Immune to Ground Type Attacks while Slowed this way. A Target can only be affected by Spray Down once per Scene. "
Spirited Challenger,At-Will - Free Action,"Effect: The user is Provoked by the Target until they fall below 50% of their Maximum Hit Points
Bonus: The user’s damaging attacks against enemies they’re Provoked by have their DB increased by +3 and have a bonus to Effect Ranges and Crit Ranges equal to their Tier Level. ",,An Enemy within 5m that is above 50% Max Hit Points,,"At-Will - Free Action
Target - An Enemy within 5m that is above 50% Max Hit Points
Effect: The user is Provoked by the Target until they fall below 50% of their Maximum Hit Points
Bonus: The user’s damaging attacks against enemies they’re Provoked by have their DB increased by +3 and have a bonus to Effect Ranges and Crit Ranges equal to their Tier Level. "
Stakeout,Static,"Effect: Whenever the user targets an Enemy that has acted in this Round but didn’t target the user, the Target cannot apply Stat Evasion towards their Attacks. If the Target is Flanked, their Attacks that meet this condition instead have the Sureshot Keyword.",,,,"Static
Effect: Whenever the user targets an Enemy that has acted in this Round but didn’t target the user, the Target cannot apply Stat Evasion towards their Attacks. If the Target is Flanked, their Attacks that meet this condition instead have the Sureshot Keyword."
Stamina,At-Will - Reaction,Effect: The user gains + 1 CS in Defense and a Tick of Temporary Hit Points after Damage Calculations. ,The user is hit by a Damaging Attack while they do not have Temporary Hit Points,,Defensive,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by a Damaging Attack while they do not have Temporary Hit Points
Effect: The user gains + 1 CS in Defense and a Tick of Temporary Hit Points after Damage Calculations. "
Stance Change,At-Will - Free Action,"Effect: The user changes between to their Weapon Stance or Shield Stance. Stance Change may only be used once per Round. 
Bonus: While the user is in their Weapon Stance, their Attack Stat swaps with their Defense Stat and their Special Attack Swaps with their Special Defense Stat, without changing CS Values. While the user is in their Shield Stance, their Stat values are reverted to normal. When the user enters a Scene, they must choose a Stance to start in.",,,Innate,"At-Will - Free Action
Keywords - Innate
Effect: The user changes between to their Weapon Stance or Shield Stance. Stance Change may only be used once per Round. 
Bonus: While the user is in their Weapon Stance, their Attack Stat swaps with their Defense Stat and their Special Attack Swaps with their Special Defense Stat, without changing CS Values. While the user is in their Shield Stance, their Stat values are reverted to normal. When the user enters a Scene, they must choose a Stance to start in."
Starlight,Scene - Swift + Movement Action ,"Effect: Choose one of the following Effects to apply to the user. The user gains +1 CS in Defense and Special Defense. The user restores 2 Ticks of Hit Points. The user recovers from 1 Mental Affliction. If the Weather is Foggy or Mystical, all numerical values above are doubled or you may use Starlight without expending its Frequency. ",,,,"Scene - Swift + Movement Action 
Effect: Choose one of the following Effects to apply to the user. The user gains +1 CS in Defense and Special Defense. The user restores 2 Ticks of Hit Points. The user recovers from 1 Mental Affliction. If the Weather is Foggy or Mystical, all numerical values above are doubled or you may use Starlight without expending its Frequency. "
Stellar Gem,At-Will - Free Action,"Effect: The user gains +1 CS in Special Attack or Special Defense. Stellar Gem can only be Triggered twice per Round. 
Bonus: The user’s Psychic Type Attacks gain a bonus to their Effect Ranges equal to the higher Combat Stage of the user’s Special Attack or Special Defense. This bonus cannot exceed double their Tier Level. ",The user uses a Psychic Attack or ends their Turn in Mystical Weather,,,"At-Will - Free Action
Trigger - The user uses a Psychic Attack or ends their Turn in Mystical Weather
Effect: The user gains +1 CS in Special Attack or Special Defense. Stellar Gem can only be Triggered twice per Round. 
Bonus: The user’s Psychic Type Attacks gain a bonus to their Effect Ranges equal to the higher Combat Stage of the user’s Special Attack or Special Defense. This bonus cannot exceed double their Tier Level. "
Static,Scene x2 - Free Action,"Effect: The Triggering Enemy becomes Paralyzed. If the Trigger was being hit with an Attack and the Triggering Enemy is already Paralyzed, they cannot cure the Affliction during their next Save Check.  
Bonus: At the start of the user’s Turn, if they used an Electric Attack last round, all Adjacent Enemies must pass a Standard CR (2) Athletics Check or else they become Paralyzed. If the user is Tier 3, it is a Tough CR (3) Athletics Check instead. ",The user is hit by an Adjacent Attack,,Defensive,"Scene x2 - Free Action
Keywords - Defensive
Trigger - The user is hit by an Adjacent Attack
Effect: The Triggering Enemy becomes Paralyzed. If the Trigger was being hit with an Attack and the Triggering Enemy is already Paralyzed, they cannot cure the Affliction during their next Save Check.  
Bonus: At the start of the user’s Turn, if they used an Electric Attack last round, all Adjacent Enemies must pass a Standard CR (2) Athletics Check or else they become Paralyzed. If the user is Tier 3, it is a Tough CR (3) Athletics Check instead. "
Steam Engine,Scene x2 – Reaction,"Connection - Smokescreen. 
Effect: The user may use Smokescreen as a Free Action, ignoring Frequency, centered on the user.
Bonus: The user is Immune to Water Type Attacks and cannot have their Accuracy lowered. ","The user is hit by a Fire Type or Water Type Attack, or begins their turn in Sunny or Rainy Weather",,Defensive,"Scene x2 – Reaction
Keywords - Defensive
Trigger - The user is hit by a Fire Type or Water Type Attack, or begins their turn in Sunny or Rainy Weather
Connection - Smokescreen. 
Effect: The user may use Smokescreen as a Free Action, ignoring Frequency, centered on the user.
Bonus: The user is Immune to Water Type Attacks and cannot have their Accuracy lowered. "
Stench,At-Will - Reaction,"Effect: The Triggering Enemy has a penalty to Accuracy and Save Checks equal to your Tier Level until the end of their next Turn. 
Bonus: All Enemies within 2m of the user have a penalty to Accuracy and Save Checks equal to your Tier Level while within this range. This does not stack if an Enemy is affected by the Effect of Stench. 
",The user is hit by an Adjacent Attack,,Defensive,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by an Adjacent Attack
Effect: The Triggering Enemy has a penalty to Accuracy and Save Checks equal to your Tier Level until the end of their next Turn. 
Bonus: All Enemies within 2m of the user have a penalty to Accuracy and Save Checks equal to your Tier Level while within this range. This does not stack if an Enemy is affected by the Effect of Stench. 
"
Sticky Smoke,Scene x2 - Free Action,"Connection - Smokescreen. 
Effect: The Smoke Hazards created become Sticky. All Enemies that begin or end their turn in Sticky Smoke Hazards have their Accuracy lowered by -1. This penalty may occur multiple times, but only once per turn. This stacks with the usual penalties from Smoke Hazards.
Bonus: As a Swift Action, the user may create a 3x3 Zone, centered on themselves and create Smoke Hazards in all Spaces within the Zone. ",The user creates a Smoke Hazard,,,"Scene x2 - Free Action
Trigger - The user creates a Smoke Hazard
Connection - Smokescreen. 
Effect: The Smoke Hazards created become Sticky. All Enemies that begin or end their turn in Sticky Smoke Hazards have their Accuracy lowered by -1. This penalty may occur multiple times, but only once per turn. This stacks with the usual penalties from Smoke Hazards.
Bonus: As a Swift Action, the user may create a 3x3 Zone, centered on themselves and create Smoke Hazards in all Spaces within the Zone. "
Sticky Syrup,At-Will - Swift Action,"Effect: All Targets hit by the Triggering Attack gain a Sap Counter (Max 3). Combatants with a Sap Counter have a -2 Penalty to Accuracy for each Counter they have. One Sap Counter can be removed as a Swift Action and using the Respite Maneuver can remove as many Counters as they have.
Bonus: As a Swift Action, the user may turn a 2x2 Zone within 3m of them into Hazardous Terrain. This Hazard has the same Effects as Sticky Syrup’s Effect","The user hits with a Bug, Grass or Poison Type Attack",,,"At-Will - Swift Action
Trigger - The user hits with a Bug, Grass or Poison Type Attack
Effect: All Targets hit by the Triggering Attack gain a Sap Counter (Max 3). Combatants with a Sap Counter have a -2 Penalty to Accuracy for each Counter they have. One Sap Counter can be removed as a Swift Action and using the Respite Maneuver can remove as many Counters as they have.
Bonus: As a Swift Action, the user may turn a 2x2 Zone within 3m of them into Hazardous Terrain. This Hazard has the same Effects as Sticky Syrup’s Effect"
Stoicism,Static,"Effect: The user adds +5 Points to their Defense Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. The user may use their Physical Stat Evasion instead of Special Defense when Targeted by a Special Attack if desired.",,,Innate,"Static
Keywords - Innate
Effect: The user adds +5 Points to their Defense Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. The user may use their Physical Stat Evasion instead of Special Defense when Targeted by a Special Attack if desired."
Stormlord,At-Will - Swift Action,"Effect: The Weather becomes a Thunderstorm. 
Bonus: While the Weather is Thunderstorm, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat. ",,,,"At-Will - Swift Action
Effect: The Weather becomes a Thunderstorm. 
Bonus: While the Weather is Thunderstorm, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat. "
Strange Tempo,Scene x2 - Swift Action,"Effect: The user may activate this Ability if there is an Enemy that is Adjacent to them. The user becomes Dazed, then may perform an Attack of Opportunity against a random Adjacent Enemy as a Free Action.
Bonus: The user may still perform Tactics Maneuvers while Dazed and may cure themselves of other Afflictions while Dazed. ",,,,"Scene x2 - Swift Action
Effect: The user may activate this Ability if there is an Enemy that is Adjacent to them. The user becomes Dazed, then may perform an Attack of Opportunity against a random Adjacent Enemy as a Free Action.
Bonus: The user may still perform Tactics Maneuvers while Dazed and may cure themselves of other Afflictions while Dazed. "
Strong Jaw,Scene - Swift Action,"Effect: The Effect Range automatically Triggers.  
Bonus: The user gains +3 DB to Attacks with the Bite Keyword.",The user hits with an Attack with the Bite Keyword,,,"Scene - Swift Action
Trigger - The user hits with an Attack with the Bite Keyword
Effect: The Effect Range automatically Triggers.  
Bonus: The user gains +3 DB to Attacks with the Bite Keyword."
Suction Cups,At-Will - Movement Action,"Effect: The user gains Damage Reduction equal to their Tick Value until the end of the next Round. Damage Reduction gained this way does not stack with itself.
Bonus: The user cannot be Slid.",,,,"At-Will - Movement Action
Effect: The user gains Damage Reduction equal to their Tick Value until the end of the next Round. Damage Reduction gained this way does not stack with itself.
Bonus: The user cannot be Slid."
Sumo Stance,At-Will - Swift or Movement Action,"Effect: The user enters a Sumo Stance.  
Forceful Stance - The user has a Damage Bonus equal to their Tier Value. When the user hits a Melee Attack, they may use a Push Maneuver as a Free Action. 
Guarding Stance - The user has Damage Reduction equal to their Tier Value and cannot have Tactic Maneuvers used against them. ",,,Defensive,"At-Will - Swift or Movement Action
Keywords - Defensive
Effect: The user enters a Sumo Stance.  
Forceful Stance - The user has a Damage Bonus equal to their Tier Value. When the user hits a Melee Attack, they may use a Push Maneuver as a Free Action. 
Guarding Stance - The user has Damage Reduction equal to their Tier Value and cannot have Tactic Maneuvers used against them. "
Sunglow,Scene - Swift + Movement Action,"Effect: Choose one of the following Effects to apply to the user. The user gains +1 CS in Attack and Special Attack. The user restores 2 Ticks of Hit Points. The user recovers from 1 Physical Affliction. If the Weather is Sunny or Mystical, all numerical values above are doubled or you may use Sunglow without expending its Frequency. ",,,,"Scene - Swift + Movement Action
Effect: Choose one of the following Effects to apply to the user. The user gains +1 CS in Attack and Special Attack. The user restores 2 Ticks of Hit Points. The user recovers from 1 Physical Affliction. If the Weather is Sunny or Mystical, all numerical values above are doubled or you may use Sunglow without expending its Frequency. "
Super Luck,Scene - Swift Action,"Effect: The user may reroll the Triggering d20
Bonus: The user has a bonus to Critical Hit Ranges equal to their Tier Level",The user rolls a 1 on a d20,,,"Scene - Swift Action
Trigger - The user rolls a 1 on a d20
Effect: The user may reroll the Triggering d20
Bonus: The user has a bonus to Critical Hit Ranges equal to their Tier Level"
Supreme Overlord,At-Will - Swift Action,"Effect: The Target becomes Vulnerable until the start of your next Turn. A Combatant may only be affected by this Effect once per Scene.
Bonus: Whenever an Ally hits an Attack against an Enemy, that Enemy cannot apply Evasion against the user’s Attacks until the end of your next Turn.",The user hits with an Attack,,,"At-Will - Swift Action
Trigger - The user hits with an Attack
Effect: The Target becomes Vulnerable until the start of your next Turn. A Combatant may only be affected by this Effect once per Scene.
Bonus: Whenever an Ally hits an Attack against an Enemy, that Enemy cannot apply Evasion against the user’s Attacks until the end of your next Turn."
Surge Surfer,Static,"Effect: While the user is below 50% Hit Points or the Weather is Thunderstorm or Mystical, the user cannot trigger Attacks of Opportunity by moving and they can use Electric Attacks as if their Range was Melee, Pass or Line 4. ",,,,"Static
Effect: While the user is below 50% Hit Points or the Weather is Thunderstorm or Mystical, the user cannot trigger Attacks of Opportunity by moving and they can use Electric Attacks as if their Range was Melee, Pass or Line 4. "
Sweet Veil,Static,"Effect: The user and allies within 2m are Immune to the Drowsy Affliction and have a bonus to Save Checks equal to your Tier Level. If a Drowsy Ally enters a space within 2m of the user, they are cured of the Drowsy Affliction. ",,,Defensive,"Static
Keywords - Defensive
Effect: The user and allies within 2m are Immune to the Drowsy Affliction and have a bonus to Save Checks equal to your Tier Level. If a Drowsy Ally enters a space within 2m of the user, they are cured of the Drowsy Affliction. "
Symbiosis,Scene x2 - Reaction,Effect: The Target also has the same Stats increased or decreased by the same amount as the user. ,The user has their Combat Stages increased or decreased by an Attack,A Combatant within 5m,,"Scene x2 - Reaction
Trigger - The user has their Combat Stages increased or decreased by an Attack
Target - A Combatant within 5m
Effect: The Target also has the same Stats increased or decreased by the same amount as the user. "
Synchronize,Scene x2 - Swift Action ,"Effect: The Target gains all Status Afflictions that the user is affected by. If the Target is an Ally, instead, they are cured of all Status Afflictions and the user gains all Afflictions cured this way. ",,A Combatant within 5m,,"Scene x2 - Swift Action 
Target - A Combatant within 5m
Effect: The Target gains all Status Afflictions that the user is affected by. If the Target is an Ally, instead, they are cured of all Status Afflictions and the user gains all Afflictions cured this way. "
